Event_Name,Event_Type,Department,Rating,Feedback
AI Workshop,Workshop,Computer Science,5,Well organized and insightful
Physics Colloquium,Seminar,Physics,4,Very informative and engaging
Biotech Seminar,Seminar,Biotechnology,5,Loved the hands-on experience
Entrepreneurship Summit,Seminar,Management,2,Session was too long
Biotech Seminar,Seminar,Biotechnology,2,Session was too long
Cultural Fest,Cultural,Arts,1,Not very engaging
Data Science Hackathon,Tech Fest,Computer Science,3,Could have been more interactive
Biotech Seminar,Seminar,Biotechnology,4,Well organized and insightful
Physics Colloquium,Seminar,Physics,2,Session was too long
Robotics Bootcamp,Workshop,Mechanical,3,Average experience
Cyber Security Talk,Seminar,IT,3,Could have been more interactive
Cyber Security Talk,Seminar,IT,2,Poor time management
Entrepreneurship Summit,Seminar,Management,1,Session was too long
Cultural Fest,Cultural,Arts,4,Loved the hands-on experience
Physics Colloquium,Seminar,Physics,4,Well organized and insightful
AI Workshop,Workshop,Computer Science,2,Poor time management
Data Science Hackathon,Tech Fest,Computer Science,1,Not very engaging
Cyber Security Talk,Seminar,IT,1,Session was too long
Robotics Bootcamp,Workshop,Mechanical,3,Content was okay
Cyber Security Talk,Seminar,IT,3,Average experience
Cultural Fest,Cultural,Arts,3,Could have been more interactive
Robotics Bootcamp,Workshop,Mechanical,4,Excellent speakers and content
Cyber Security Talk,Seminar,IT,2,Poor time management
AI Workshop,Workshop,Computer Science,4,Well organized and insightful
Data Science Hackathon,Tech Fest,Computer Science,2,Poor time management
Entrepreneurship Summit,Seminar,Management,4,Well organized and insightful
Physics Colloquium,Seminar,Physics,5,Loved the hands-on experience
Biotech Seminar,Seminar,Biotechnology,3,Good but could be improved
Robotics Bootcamp,Workshop,Mechanical,1,Audio issues during the event
Cyber Security Talk,Seminar,IT,4,Excellent speakers and content
Data Science Hackathon,Tech Fest,Computer Science,3,Average experience
Cyber Security Talk,Seminar,IT,1,Poor time management
AI Workshop,Workshop,Computer Science,5,Very informative and engaging
Cyber Security Talk,Seminar,IT,4,Very informative and engaging
Physics Colloquium,Seminar,Physics,4,Well organized and insightful
Entrepreneurship Summit,Seminar,Management,3,Content was okay
